transport_infrastructure,country,nuts_2,year,value,unit
motorways,HU,HU31,2007,174,KM
motorways,HU,HU32,2007,132,KM
motorways,HU,HU33,2007,142,KM
motorways,IE,IE04,2007,,KM
motorways,IE,IE05,2007,,KM
motorways,IE,IE06,2007,,KM
motorways,IT,ITC1,2007,817,KM
motorways,IT,ITC2,2007,114,KM
motorways,IT,ITC3,2007,375,KM
motorways,IT,ITC4,2007,576,KM
motorways,IT,ITF1,2007,352,KM
motorways,IT,ITF2,2007,36,KM
motorways,IT,ITF3,2007,442,KM
motorways,IT,ITF4,2007,313,KM
motorways,IT,ITF5,2007,29,KM
motorways,IT,ITF6,2007,295,KM
motorways,IT,ITG1,2007,644,KM
motorways,IT,ITG2,2007,,KM
motorways,IT,ITH1,2007,211,KM
motorways,IT,ITH3,2007,485,KM
motorways,IT,ITH4,2007,210,KM
motorways,IT,ITH5,2007,568,KM
motorways,IT,ITI1,2007,424,KM
motorways,IT,ITI2,2007,59,KM
motorways,IT,ITI3,2007,168,KM
motorways,IT,ITI4,2007,470,KM
motorways,LI,LI00,2007,: z,KM
motorways,LT,LT01,2007,,KM
motorways,LT,LT02,2007,,KM
motorways,LU,LU00,2007,147,KM
motorways,LV,LV00,2007,0,KM
motorways,MT,MT00,2007,: z,KM
motorways,NL,NL11,2007,93,KM
motorways,NL,NL12,2007,186,KM
motorways,NL,NL13,2007,110,KM
motorways,NL,NL21,2007,133,KM
motorways,NL,NL22,2007,391,KM
motorways,NL,NL23,2007,99,KM
motorways,NL,NL31,2007,177,KM
motorways,NL,NL32,2007,283,KM
motorways,NL,NL33,2007,353,KM
motorways,NL,NL34,2007,84,KM
motorways,NL,NL41,2007,491,KM
motorways,NL,NL42,2007,183,KM
motorways,NO,NO01,2007,108,KM
motorways,NO,NO02,2007,0,KM
motorways,NO,NO03,2007,107,KM
motorways,NO,NO04,2007,13,KM
motorways,NO,NO05,2007,11,KM
motorways,NO,NO06,2007,0,KM
motorways,NO,NO07,2007,0,KM
motorways,PL,PL21,2007,60,KM
motorways,PL,PL22,2007,73,KM
motorways,PL,PL41,2007,195,KM
motorways,PL,PL42,2007,22,KM
motorways,PL,PL43,2007,0,KM
motorways,PL,PL51,2007,150,KM
motorways,PL,PL52,2007,88,KM
motorways,PL,PL61,2007,0,KM
motorways,PL,PL62,2007,0,KM
motorways,PL,PL63,2007,0,KM
motorways,PL,PL71,2007,75,KM
motorways,PL,PL72,2007,0,KM
motorways,PL,PL81,2007,0,KM
motorways,PL,PL82,2007,0,KM
motorways,PL,PL84,2007,0,KM
motorways,PT,PT20,2007,0,KM
motorways,PT,PT30,2007,0,KM
motorways,RO,RO11,2007,0,KM
motorways,RO,RO12,2007,0,KM
motorways,RO,RO21,2007,0,KM
motorways,RO,RO22,2007,1,KM
motorways,RO,RO31,2007,229,KM
motorways,RO,RO32,2007,51,KM
motorways,RO,RO41,2007,0,KM
motorways,RO,RO42,2007,0,KM
motorways,SE,SE11,2007,268 b,KM
motorways,SE,SE12,2007,540 b,KM
motorways,SE,SE21,2007,194 b,KM
motorways,SE,SE22,2007,304 b,KM
motorways,SE,SE23,2007,409 b,KM
motorways,SE,SE31,2007,101 b,KM
motorways,SE,SE32,2007,15 b,KM
motorways,SE,SE33,2007,6 b,KM
motorways,SI,SI03,2007,,KM
motorways,SI,SI04,2007,,KM
motorways,SK,SK01,2007,110,KM
motorways,SK,SK02,2007,148,KM
motorways,SK,SK03,2007,69,KM
motorways,SK,SK04,2007,46,KM
motorways,TR,TR10,2007,211,KM
motorways,TR,TR21,2007,185,KM
motorways,TR,TR22,2007,0,KM
motorways,TR,TR31,2007,174,KM
motorways,TR,TR32,2007,88,KM
motorways,TR,TR33,2007,0,KM
motorways,TR,TR41,2007,65,KM
motorways,TR,TR42,2007,281,KM
motorways,TR,TR51,2007,207,KM
motorways,TR,TR52,2007,0,KM
motorways,TR,TR61,2007,0,KM
motorways,TR,TR62,2007,320,KM
motorways,TR,TR63,2007,194,KM
motorways,TR,TR71,2007,0,KM
motorways,TR,TR72,2007,0,KM
motorways,TR,TR81,2007,0,KM
motorways,TR,TR82,2007,0,KM
motorways,TR,TR83,2007,0,KM
motorways,TR,TR90,2007,0,KM
motorways,TR,TRA1,2007,0,KM
motorways,TR,TRA2,2007,0,KM
motorways,TR,TRB1,2007,0,KM
motorways,TR,TRB2,2007,0,KM
motorways,TR,TRC1,2007,158,KM
motorways,TR,TRC2,2007,104,KM
motorways,TR,TRC3,2007,0,KM
motorways,UK,UKN0,2007,114,KM
motorways,AT,AT11,2008,80,KM
motorways,AT,AT12,2008,328,KM
motorways,AT,AT13,2008,43,KM
motorways,AT,AT21,2008,243,KM
motorways,AT,AT22,2008,308,KM
motorways,AT,AT31,2008,299,KM
motorways,AT,AT32,2008,144,KM
motorways,AT,AT33,2008,189,KM
motorways,AT,AT34,2008,63,KM
motorways,BE,BE10,2008,11,KM
motorways,BE,BE21,2008,220,KM
motorways,BE,BE22,2008,106,KM
motorways,BE,BE23,2008,196,KM
motorways,BE,BE24,2008,175,KM
motorways,BE,BE25,2008,187,KM
motorways,BE,BE31,2008,63,KM
motorways,BE,BE32,2008,284,KM
motorways,BE,BE33,2008,266,KM
motorways,BE,BE34,2008,154,KM
motorways,BE,BE35,2008,103,KM
motorways,BG,BG31,2008,7,KM
motorways,BG,BG32,2008,0,KM
motorways,BG,BG33,2008,84,KM
motorways,BG,BG34,2008,87,KM
motorways,BG,BG41,2008,118,KM
motorways,BG,BG42,2008,122,KM
motorways,CH,CH01,2008,280,KM
motorways,CH,CH02,2008,319,KM
motorways,CH,CH03,2008,139,KM
motorways,CH,CH04,2008,112,KM
motorways,CH,CH05,2008,243,KM
motorways,CH,CH06,2008,181,KM
motorways,CH,CH07,2008,109,KM
motorways,CY,CY00,2008,257,KM
motorways,CZ,CZ01,2008,11,KM
motorways,CZ,CZ02,2008,194,KM
motorways,CZ,CZ03,2008,125,KM
motorways,CZ,CZ04,2008,53,KM
motorways,CZ,CZ05,2008,24,KM
motorways,CZ,CZ06,2008,227,KM
motorways,CZ,CZ07,2008,29,KM
motorways,CZ,CZ08,2008,28,KM
motorways,DE,DE11,2008,388,KM
motorways,DE,DE12,2008,266,KM
motorways,DE,DE13,2008,279,KM
motorways,DE,DE14,2008,106,KM
motorways,DE,DE21,2008,600,KM
motorways,DE,DE22,2008,235,KM
motorways,DE,DE23,2008,336,KM
motorways,DE,DE24,2008,349,KM
motorways,DE,DE25,2008,358,KM
motorways,DE,DE26,2008,353,KM
motorways,DE,DE27,2008,259,KM
motorways,DE,DE30,2008,77,KM
motorways,DE,DE40,2008,795,KM
motorways,DE,DE50,2008,75,KM
motorways,DE,DE60,2008,81,KM
motorways,DE,DE71,2008,480,KM
motorways,DE,DE72,2008,199,KM
motorways,DE,DE73,2008,293,KM
motorways,DE,DE80,2008,538,KM
motorways,DE,DE91,2008,274,KM
motorways,DE,DE92,2008,226,KM
motorways,DE,DE93,2008,299,KM
motorways,DE,DE94,2008,547,KM
motorways,DE,DEA1,2008,638,KM
motorways,DE,DEA2,2008,557,KM
motorways,DE,DEA3,2008,356,KM
motorways,DE,DEA4,2008,189,KM
motorways,DE,DEA5,2008,447,KM
motorways,DE,DEB1,2008,257,KM
motorways,DE,DEB2,2008,184,KM
motorways,DE,DEB3,2008,431,KM
motorways,DE,DEC0,2008,240,KM
motorways,DE,DED2,2008,216,KM
motorways,DE,DED4,2008,203,KM
motorways,DE,DED5,2008,111,KM
motorways,DE,DEE0,2008,407,KM
motorways,DE,DEF0,2008,510,KM
motorways,DE,DEG0,2008,482,KM
motorways,DK,DK01,2008,157,KM
motorways,DK,DK02,2008,260,KM
motorways,DK,DK03,2008,328,KM
motorways,DK,DK04,2008,197,KM
motorways,DK,DK05,2008,187,KM
motorways,EE,EE00,2008,104,KM
motorways,ES,ES11,2008,907,KM
motorways,ES,ES12,2008,389,KM
motorways,ES,ES13,2008,214,KM
motorways,ES,ES21,2008,510,KM
motorways,ES,ES22,2008,345,KM
motorways,ES,ES23,2008,159,KM
motorways,ES,ES24,2008,667,KM
motorways,ES,ES30,2008,751,KM
motorways,ES,ES41,2008,1995,KM
motorways,ES,ES42,2008,1553,KM
motorways,ES,ES43,2008,640,KM
motorways,ES,ES51,2008,1168,KM
motorways,ES,ES52,2008,1091,KM
motorways,ES,ES53,2008,94,KM
motorways,ES,ES61,2008,2316,KM
motorways,ES,ES62,2008,498,KM
motorways,ES,ES63,2008,0,KM
motorways,ES,ES64,2008,0,KM
motorways,ES,ES70,2008,217,KM
motorways,FI,FI19,2008,115,KM
motorways,FI,FI1B,2008,257,KM
motorways,FI,FI1C,2008,271,KM
motorways,FI,FI1D,2008,95,KM
motorways,FI,FI20,2008,0,KM
motorways,FR,FR10,2008,605,KM
motorways,FR,FRB0,2008,884,KM
motorways,FR,FRC1,2008,686,KM
motorways,FR,FRC2,2008,218,KM
motorways,FR,FRD1,2008,255,KM
motorways,FR,FRD2,2008,428,KM
motorways,FR,FRE1,2008,627,KM
motorways,FR,FRE2,2008,550,KM
motorways,FR,FRF1,2008,301,KM
motorways,FR,FRF2,2008,503,KM
motorways,FR,FRF3,2008,465,KM
motorways,FR,FRG0,2008,746,KM
motorways,FR,FRH0,2008,50,KM
motorways,FR,FRI1,2008,628,KM
motorways,FR,FRI2,2008,263,KM
motorways,FR,FRI3,2008,300,KM
motorways,FR,FRJ1,2008,536,KM
motorways,FR,FRJ2,2008,652,KM
motorways,FR,FRK1,2008,380,KM
motorways,FR,FRK2,2008,1211,KM
motorways,FR,FRL0,2008,754,KM
motorways,FR,FRM0,2008,0,KM
motorways,FR,FRY1,2008,,KM
motorways,FR,FRY2,2008,0,KM
motorways,FR,FRY3,2008,0,KM
motorways,FR,FRY4,2008,0,KM
motorways,FR,FRY5,2008,,KM
motorways,HR,HR03,2008,603,KM
motorways,HR,HR04,2008,596,KM
motorways,HU,HU11,2008,,KM
motorways,HU,HU12,2008,,KM
motorways,HU,HU21,2008,254,KM
motorways,HU,HU22,2008,167,KM
motorways,HU,HU23,2008,125,KM
motorways,HU,HU31,2008,174,KM
motorways,HU,HU32,2008,132,KM
motorways,HU,HU33,2008,143,KM
motorways,IE,IE04,2008,,KM
motorways,IE,IE05,2008,,KM
motorways,IE,IE06,2008,,KM
motorways,IT,ITC1,2008,817,KM
motorways,IT,ITC2,2008,114,KM
motorways,IT,ITC3,2008,375,KM
motorways,IT,ITC4,2008,587,KM
motorways,IT,ITF1,2008,352,KM
motorways,IT,ITF2,2008,36,KM
motorways,IT,ITF3,2008,442,KM
motorways,IT,ITF4,2008,313,KM
motorways,IT,ITF5,2008,29,KM
motorways,IT,ITF6,2008,295,KM
motorways,IT,ITG1,2008,654,KM
motorways,IT,ITG2,2008,,KM
motorways,IT,ITH1,2008,211,KM
motorways,IT,ITH3,2008,493,KM
motorways,IT,ITH4,2008,210,KM
